expected_evidence_id,query_id,fixture_id,source_version_id,supporting_evidence_summary,manually_verified_supporting_passage,ground_truth_locator,locator_type,extraction_expected_to_preserve_locator,expected_relevance,expected_rank_group,misleading_or_unrelated_fixture_ids,reviewer,review_status,notes
EE-001,Q-META-001,FX-PDF-002,SV-FX-PDF-002-001,Exact resource-title match.,SQL Joins and Query Design Module,"Document title/header, Page 1",PDF page and title,Yes,Primary,Top 1,FX-PDF-001;FX-DOCX-001;FX-PPTX-001;FX-TXT-001,Project team,Accepted - manually reviewed,Metadata/title baseline rather than passage-grounding test.
EE-002,Q-SEM-001,FX-PDF-001,SV-FX-PDF-001-001,Normalization organizes data to reduce repeated facts and data anomalies.,"Normalization is a database design technique used to organize data so that repeated facts, update anomalies, insertion anomalies, and deletion anomalies are reduced.","Page 1, Section 1 — Purpose of Normalization",PDF page and numbered section,Yes,Primary,Top 3,FX-PDF-002,Project team,Accepted - manually reviewed,The query deliberately avoids the word normalization.
EE-003,Q-INQ-001,FX-PDF-001,SV-FX-PDF-001-001,"Normalization helps reduce repeated facts and update, insertion, and deletion anomalies.","Normalization is a database design technique used to organize data so that repeated facts, update anomalies, insertion anomalies, and deletion anomalies are reduced.","Page 1, Section 1 — Purpose of Normalization",PDF page and numbered section,Yes,Primary,Top 1,FX-PDF-002,Project team,Accepted - manually reviewed,
EE-004,Q-INQ-001,FX-PDF-001,SV-FX-PDF-001-001,"Definitions and examples of update, insertion, and deletion anomalies.",An update anomaly happens when the same fact is stored in multiple rows and only some copies are updated. An insertion anomaly occurs when a new fact cannot be stored unless unrelated data is also available. A deletion anomaly happens when deleting one row unintentionally removes another important fact.,"Page 1, Section 2 — Common Anomalies",PDF page and numbered section,Yes,Supporting,Top 3,,Project team,Accepted - manually reviewed,
EE-005,Q-INQ-002,FX-PDF-002,SV-FX-PDF-002-001,LEFT JOIN preserves all left-side rows when optional related data such as bookmarks may be absent.,"A LEFT JOIN returns all rows from the left table and matching rows from the right table. It is useful when related data is optional. For example, approved resources may be listed even when the current user has not bookmarked them.","Page 1, Section 3 — LEFT JOIN",PDF page and numbered section,Yes,Primary,Top 1,FX-PDF-001,Project team,Accepted - manually reviewed,
EE-006,Q-INQ-002,FX-TXT-001,SV-FX-TXT-001-001,General definition of LEFT JOIN.,A LEFT JOIN returns all rows from the left table and matching rows from the right table. Missing right-side rows appear as NULL.,[9] LEFT JOIN,TXT numbered block,Yes,Supporting,Top 5,,Project team,Accepted - manually reviewed,Useful secondary evidence but less specific than FX-PDF-002.
EE-007,Q-INQ-003,FX-DOCX-001,SV-FX-DOCX-001-001,"A junction table resolves many-to-many relationships and improves tag filtering, validation, and reuse.","A junction table resolves a many-to-many relationship. For example, resource_tags can connect resources and tags without storing a comma-separated tag list. This makes tag filtering, tag validation, and tag reuse easier.",Heading 5 — Junction Tables,DOCX heading,Yes,Primary,Top 3,FX-PDF-002,Project team,Accepted - manually reviewed,
EE-008,Q-INQ-003,FX-PPTX-001,SV-FX-PPTX-001-001,A junction table connects resources and tags using two foreign keys without comma-separated lists.,One resource may have many tags. One tag may describe many resources. A junction table connects them without storing comma-separated tag lists. The junction table usually contains two foreign keys.,Slide 5 — Many-to-Many Relationships,PPTX slide and title,Yes,Primary,Top 3,,Project team,Accepted - manually reviewed,
EE-009,Q-INQ-003,FX-TXT-001,SV-FX-TXT-001-001,Concise definition and LearnShare example of a junction table.,A junction table connects many-to-many relationships. resource_tags can connect many resources to many tags.,[10] Junction Table,TXT numbered block,Yes,Supporting,Top 5,,Project team,Accepted - manually reviewed,
EE-010,Q-INQ-004,FX-PPTX-001,SV-FX-PPTX-001-001,A primary key uniquely identifies a row and remains the stable record identity.,A primary key uniquely identifies one row in a table. It should be stable and not reused for a different record.,Slide 2 — Primary Keys,PPTX slide and title,Yes,Primary,Top 3,,Project team,Accepted - manually reviewed,
EE-011,Q-INQ-004,FX-PPTX-001,SV-FX-PPTX-001-001,A foreign key stores a related row ID and protects structural relationships.,A foreign key stores the id of a related row in another table. It protects relationships from pointing to missing records.,Slide 3 — Foreign Keys,PPTX slide and title,Yes,Primary,Top 3,,Project team,Accepted - manually reviewed,
EE-012,Q-INQ-004,FX-TXT-001,SV-FX-TXT-001-001,Concise primary-key definition.,"A primary key uniquely identifies a row. In many MariaDB designs, this is an integer id column.",[4] Primary Key,TXT numbered block,Yes,Supporting,Top 5,,Project team,Accepted - manually reviewed,
EE-013,Q-INQ-004,FX-TXT-001,SV-FX-TXT-001-001,Concise foreign-key definition and LearnShare example.,"A foreign key links one table to another. For example, resources.uploader_account_id can point to accounts.id.",[5] Foreign Key,TXT numbered block,Yes,Supporting,Top 5,,Project team,Accepted - manually reviewed,
EE-014,Q-INQ-005,FX-PPTX-001,SV-FX-PPTX-001-001,"Database constraints protect structural integrity, while PHP still enforces workflow, permission, status, and replacement-cycle rules.","Database constraints protect structural integrity. Workflow rules still belong in PHP application logic. A foreign key can prove that a resource exists, but not that the requester may access it.",Slide 7 — Keys Do Not Replace Workflow Rules,PPTX slide and title,Yes,Primary,Top 1,FX-PDF-002,Project team,Accepted - manually reviewed,
EE-015,Q-INQ-005,FX-TXT-001,SV-FX-TXT-001-001,CHECK constraints are defense-in-depth and do not replace PHP business-rule validation.,"A CHECK constraint restricts allowed values in a row. In this project, CHECK constraints are defense-in-depth. PHP application logic must still enforce business rules.",[7] CHECK Constraint,TXT numbered block,Yes,Supporting,Top 3,,Project team,Accepted - manually reviewed,
EE-016,Q-MULTI-001,FX-DOCX-001,SV-FX-DOCX-001-001,ERDs describe entities and relationships before SQL is written; cardinality helps determine whether foreign keys or junction tables are needed.,"An Entity-Relationship Diagram, or ERD, describes important data objects and how they are related. It helps the project team reason about tables before writing SQL.",Heading 1 — Entity-Relationship Diagram Purpose,DOCX heading,Yes,Primary,Top 5,,Project team,Accepted - manually reviewed,
